"domainID","siteID","horizontalPosition","verticalPosition","date","wssRHMean","wssRHMinimum","wssRHMaximum","wssRHVariance","wssRHStdErMean","wssRHNumPts","RHQF","wssDewTempMean","wssDewTempMinimum","wssDewTempMaximum","wssDewTempVariance","wssDewTempStdErMean","wssDewTempNumPts","dewTempQF"
"D01","HARV","000","060","2017-01-01",83.05,53.69,98.31,235.84,0.05,78620,1,-2.991,-6.72,-0.71,4.054,0.007,78620,1
"D01","HARV","000","060","2017-01-02",68.64,55.88,82.13,28.92,0.02,78918,1,-5.985,-7.19,-4.4,0.415,0.002,78918,1
"D01","HARV","000","060","2017-01-03",92.13,73.16,97.99,54.09,0.03,78533,1,-0.952,-4.63,0.96,2.808,0.006,78533,1
"D01","HARV","000","060","2017-01-04",95.44,76.98,99.1,23.72,0.02,65340,1,0.615,-2.85,2.55,1.196,0.004,78375,1
"D01","HARV","000","060","2017-01-05",56.77,40.68,95.29,119.11,0.04,78384,1,-11.538,-14.4,-1.92,7.803,0.01,78384,1
"D01","HARV","000","060","2017-01-06",65.04,44,91.37,207.12,0.05,78910,1,-11.167,-14.56,-7.42,4.666,0.008,78910,1
"D01","HARV","000","060","2017-01-07",71.24,55.95,88.78,102.37,0.04,78947,1,-13.253,-14.94,-11.04,1.547,0.004,78947,1
"D01","HARV","000","060","2017-01-08",70.14,51.76,88.41,121.47,0.04,78965,1,-15.249,-19.15,-11.43,5.179,0.008,78965,1
"D01","HARV","000","060","2017-01-09",69.73,52.2,85.93,89.06,0.03,78981,1,-16.765,-19.25,-13.01,2.415,0.006,78981,1
"D01","HARV","000","060","2017-01-10",75.23,61.21,94.58,53.22,0.03,78890,1,-10.963,-16.03,-1.57,19.981,0.016,78890,1
"D01","HARV","000","060","2017-01-11",78.45,46.57,98.34,282.63,0.06,78354,1,0.866,-1.73,3.62,2.674,0.006,78354,1
"D01","HARV","000","060","2017-01-12",90.55,63.04,99.07,149.52,0.05,64616,1,5.364,-1.52,9.56,14.424,0.014,78273,1
"D01","HARV","000","060","2017-01-13",69,26.03,98.34,610.86,0.09,78506,1,-1.987,-16.79,9.83,78.154,0.032,78506,1
"D01","HARV","000","060","2017-01-14",48.2,30.41,65.66,80.28,0.03,79040,1,-15.498,-17.68,-11.47,2.205,0.005,79040,1
"D01","HARV","000","060","2017-01-15",64.94,41.4,90.17,258.24,0.06,78956,1,-9.753,-12.17,-7.58,1.895,0.005,78956,1
"D01","HARV","000","060","2017-01-16",61.79,45.51,87,127.64,0.04,78150,1,-9.385,-11.24,-7.73,0.964,0.004,78150,1
"D01","HARV","000","060","2017-01-17",55.03,38.92,95.91,160.27,0.05,78848,1,-7.636,-10.58,-1.48,4.073,0.007,78848,1
"D01","HARV","000","060","2017-01-18",97.34,95.83,98.85,0.27,0,70671,1,-1.342,-1.74,-1,0.047,0.001,78639,1
"D01","HARV","000","060","2017-01-19",88.61,74.94,98.84,79.96,0.04,47594,1,-1.139,-2.26,0.93,0.604,0.003,78608,1
"D01","HARV","000","060","2017-01-20",83.66,78.35,91.37,8.12,0.01,78781,1,-2.464,-3.54,-1.05,0.396,0.002,78781,1
"D01","HARV","000","060","2017-01-21",87.66,73.81,99.17,77.55,0.04,59707,1,1.079,-2.43,4.73,6.26,0.009,78209,1
"D01","HARV","000","060","2017-01-22",93.09,82.24,99.09,18.95,0.02,69697,1,3.485,-0.5,5.14,2.479,0.006,78210,1
"D01","HARV","000","060","2017-01-23",90.87,84.09,99.19,17.61,0.02,62060,1,-2.872,-4.52,-0.49,2.01,0.005,78583,1
"D01","HARV","000","060","2017-01-24",91.92,88.03,97.61,7.43,0.01,78609,1,-3.124,-4.31,-1.17,1.099,0.004,78609,1
"D01","HARV","000","060","2017-01-25",87.2,67.97,98.11,87.26,0.03,78739,1,-2.442,-4.59,-0.67,1.387,0.004,78739,1
