"domainID","siteID","horizontalPosition","verticalPosition","date","wssPrecipTotal","precipQF"
"D01","HARV","900","000","2017-02-06",0,1
"D01","HARV","900","000","2017-02-07",0,1
"D01","HARV","900","000","2017-02-08",0,1
"D01","HARV","900","000","2017-02-09",0,1
"D01","HARV","900","000","2017-02-10",0,1
"D01","HARV","900","000","2017-02-11",0,1
"D01","HARV","900","000","2017-02-12",0,1
"D01","HARV","900","000","2017-02-13",0,1
"D01","HARV","900","000","2017-02-14",0,1
"D01","HARV","900","000","2017-02-15",0,1
"D01","HARV","900","000","2017-02-16",0,1
"D01","HARV","900","000","2017-02-17",0,1
"D01","HARV","900","000","2017-02-18",0,1
"D01","HARV","900","000","2017-02-19",0,1
"D01","HARV","900","000","2017-02-20",0,1
"D01","HARV","900","000","2017-02-21",0,1
"D01","HARV","900","000","2017-02-22",0,1
"D01","HARV","900","000","2017-02-23",0,1
"D01","HARV","900","000","2017-02-24",0,1
"D01","HARV","900","000","2017-02-25",0,1
"D01","HARV","900","000","2017-02-26",0,1
"D01","HARV","900","000","2017-02-27",0,1
"D01","HARV","900","000","2017-02-28",0,1
"D01","HARV","900","000","2017-03-01",0,1
"D01","HARV","900","000","2017-03-02",0,1
"D01","HARV","900","000","2017-03-03",0,1
"D01","HARV","900","000","2017-03-04",0,1
"D01","HARV","900","000","2017-03-05",0,1
"D01","HARV","900","000","2017-03-06",0,1
"D01","HARV","900","000","2017-03-07",0,1
"D01","HARV","900","000","2017-03-08",0,1
"D01","HARV","900","000","2017-03-09",0,1
"D01","HARV","900","000","2017-03-10",0,1
"D01","HARV","900","000","2017-03-12",0,1
"D01","HARV","900","000","2017-03-13",0,1
"D01","HARV","900","000","2017-03-14",0,1
"D01","HARV","900","000","2017-03-15",0,1
"D01","HARV","900","000","2017-03-16",0,1
"D01","HARV","900","000","2017-03-17",0,1
"D01","HARV","900","000","2017-03-18",0,1
"D01","HARV","900","000","2017-03-19",0,1
"D01","HARV","900","000","2017-03-20",0,1
"D01","HARV","900","000","2017-03-21",0,1
"D01","HARV","900","000","2017-03-22",0,1
"D01","HARV","900","000","2017-03-23",0,1
"D01","HARV","900","000","2017-03-24",0,1
"D01","HARV","900","000","2017-03-25",0,1
"D01","HARV","900","000","2017-03-26",0,1
"D01","HARV","900","000","2017-03-27",0,1
"D01","HARV","900","000","2017-03-28",0,1
"D01","HARV","900","000","2017-03-29",0,1
"D01","HARV","900","000","2017-03-30",0,1
"D01","HARV","900","000","2017-03-31",0,1
"D01","HARV","900","000","2017-04-01",0,1
"D01","HARV","900","000","2017-04-02",0,1
"D01","HARV","900","000","2017-04-03",0,1
"D01","HARV","900","000","2017-04-04",0,1
"D01","HARV","900","000","2017-04-05",0.04,1
"D01","HARV","900","000","2017-04-06",12.29,0
"D01","HARV","900","000","2017-04-07",0.26,0
"D01","HARV","900","000","2017-04-08",0.08,0
"D01","HARV","900","000","2017-04-09",0.43,0
"D01","HARV","900","000","2017-04-10",0.45,0
"D01","HARV","900","000","2017-04-11",0.36,0
"D01","HARV","900","000","2017-04-12",4,0
"D01","HARV","900","000","2017-04-13",0.53,0
"D01","HARV","900","000","2017-04-14",0.69,0
"D01","HARV","900","000","2017-04-15",0.25,0
"D01","HARV","900","000","2017-04-16",0.12,0
"D01","HARV","900","000","2017-04-17",0.04,0
"D01","HARV","900","000","2017-04-18",0.42,0
"D01","HARV","900","000","2017-04-19",0.83,0
"D01","HARV","900","000","2017-04-20",0.18,0
"D01","HARV","900","000","2017-04-21",8.2,0
"D01","HARV","900","000","2017-04-22",0.21,0
"D01","HARV","900","000","2017-04-23",0.55,0
"D01","HARV","900","000","2017-04-24",0.43,0
"D01","HARV","900","000","2017-04-25",4.1,0
"D01","HARV","900","000","2017-04-26",4.84,0
"D01","HARV","900","000","2017-04-27",0.04,0
"D01","HARV","900","000","2017-04-28",0.2,0
"D01","HARV","900","000","2017-04-29",0.08,0
"D01","HARV","900","000","2017-04-30",3.97,0
"D01","HARV","900","000","2017-05-01",0.09,0
"D01","HARV","900","000","2017-05-02",13.75,0
"D01","HARV","900","000","2017-05-03",0.25,0
"D01","HARV","900","000","2017-05-04",0.57,0
"D01","HARV","900","000","2017-05-05",14.71,0
"D01","HARV","900","000","2017-05-10",0.16,0
"D01","HARV","900","000","2017-05-11",0.36,0
"D01","HARV","900","000","2017-05-12",0.13,0
"D01","HARV","900","000","2017-05-13",4.16,0
"D01","HARV","900","000","2017-05-14",30.71,0
"D01","HARV","900","000","2017-05-17",0.33,0
"D01","HARV","900","000","2017-05-20",0.36,0
"D01","HARV","900","000","2017-05-21",0.24,0
"D01","HARV","900","000","2017-05-22",6.67,0
"D01","HARV","900","000","2017-05-23",0.4,0
"D01","HARV","900","000","2017-05-24",0.07,0
"D01","HARV","900","000","2017-05-25",0.51,0
"D01","HARV","900","000","2017-05-26",33.69,0
"D01","HARV","900","000","2017-05-27",0.17,0
"D01","HARV","900","000","2017-05-28",0.28,0
"D01","HARV","900","000","2017-05-29",3.45,0
"D01","HARV","900","000","2017-05-30",0.06,0
"D01","HARV","900","000","2017-05-31",4.82,0
"D01","HARV","900","000","2017-06-01",0.98,0
"D01","HARV","900","000","2017-06-02",0.78,0
"D01","HARV","900","000","2017-06-03",0.75,0
"D01","HARV","900","000","2017-06-04",2.1,0
"D01","HARV","900","000","2017-06-05",15.77,0
"D01","HARV","900","000","2017-06-06",45.07,0
"D01","HARV","900","000","2017-06-07",2.66,0
"D01","HARV","900","000","2017-06-08",0.36,0
"D01","HARV","900","000","2017-06-09",0.79,0
"D01","HARV","900","000","2017-06-10",0.37,0
"D01","HARV","900","000","2017-06-11",0.21,0
"D01","HARV","900","000","2017-06-12",0.05,0
"D01","HARV","900","000","2017-06-13",0.04,0
"D01","HARV","900","000","2017-06-14",0.43,0
"D01","HARV","900","000","2017-06-15",0.56,0
"D01","HARV","900","000","2017-06-16",2.22,0
"D01","HARV","900","000","2017-06-17",0.08,0
"D01","HARV","900","000","2017-06-18",0.38,0
"D01","HARV","900","000","2017-06-19",10.02,0
"D01","HARV","900","000","2017-06-20",1.65,0
"D01","HARV","900","000","2017-06-21",0.28,0
"D01","HARV","900","000","2017-06-22",0.46,0
"D01","HARV","900","000","2017-06-24",1.95,0
"D01","HARV","900","000","2017-06-25",0.56,0
"D01","HARV","900","000","2017-06-26",1.08,0
"D01","HARV","900","000","2017-06-27",2.07,0
"D01","HARV","900","000","2017-06-28",0.61,0
"D01","HARV","900","000","2017-06-29",0.14,0
"D01","HARV","900","000","2017-06-30",14.09,0
"D01","HARV","900","000","2017-07-01",2.56,0
"D01","HARV","900","000","2017-07-02",0.31,0
"D01","HARV","900","000","2017-07-03",0.72,0
"D01","HARV","900","000","2017-07-04",0.42,0
"D01","HARV","900","000","2017-07-05",0.8,0
"D01","HARV","900","000","2017-07-08",3.4,0
"D01","HARV","900","000","2017-07-09",0.59,0
"D01","HARV","900","000","2017-07-10",0.41,0
"D01","HARV","900","000","2017-07-12",1.02,0
"D01","HARV","900","000","2017-07-13",1.15,0
"D01","HARV","900","000","2017-07-14",0.2,0
"D01","HARV","900","000","2017-07-17",0.42,0
"D01","HARV","900","000","2017-07-19",0.04,0
"D01","HARV","900","000","2017-07-22",0.09,0
"D01","HARV","900","000","2017-07-23",0.47,0
"D01","HARV","900","000","2017-07-26",0.9,0
"D01","HARV","900","000","2017-07-27",1.94,0
"D01","HARV","900","000","2017-07-28",0.43,0
"D01","HARV","900","000","2017-07-29",1.05,0
"D01","HARV","900","000","2017-07-30",0.59,0
"D01","HARV","900","000","2017-07-31",0.54,0
"D01","HARV","900","000","2017-08-01",0.62,0
"D01","HARV","900","000","2017-08-02",0.24,0
"D01","HARV","900","000","2017-08-03",0.45,0
"D01","HARV","900","000","2017-08-04",1.88,0
"D01","HARV","900","000","2017-08-05",21.83,0
"D01","HARV","900","000","2017-08-06",0.91,0
"D01","HARV","900","000","2017-08-07",0.6,0
