"domainID","siteID","horizontalPosition","verticalPosition","date","wssShortRadMean","wssShortRadMinimum","wssShortRadMaximum","wssShortRadVariance","wssShortRadStdErMean","wssShortRadNumPts","shortRadQF"
"D01","HARV","000","060","2017-01-01",94.1,-1.51,497.83,23211.56,0.52,86460,0
"D01","HARV","000","060","2017-01-02",49.68,-1.56,476.04,8142.14,0.31,86460,0
"D01","HARV","000","060","2017-01-03",15.07,-0.9,79.66,566.63,0.08,86458,0
"D01","HARV","000","060","2017-01-04",23.49,-1.53,202.48,1585.36,0.14,86460,0
"D01","HARV","000","060","2017-01-05",90.13,-1.49,582.61,19846.61,0.48,85788,0
"D01","HARV","000","060","2017-01-06",90.39,-1.2,655.31,27864.75,0.57,86459,0
"D01","HARV","000","060","2017-01-07",14.29,-1.48,72.61,472.73,0.07,86460,0
"D01","HARV","000","060","2017-01-08",98.06,-1.41,584.94,25657.95,0.54,86460,0
"D01","HARV","000","060","2017-01-09",85.65,-1.4,447.34,18260.02,0.46,86460,0
"D01","HARV","000","060","2017-01-10",68.39,-1.38,437.09,12946.96,0.39,86460,0
"D01","HARV","000","060","2017-01-11",94.8,-1.53,459.78,25715.72,0.55,86459,0
"D01","HARV","000","060","2017-01-12",27.93,-1.46,454.46,3376.01,0.2,86460,0
"D01","HARV","000","060","2017-01-13",106.5,-1.63,474.76,28448.66,0.57,86460,0
"D01","HARV","000","060","2017-01-14",84.28,-1.54,661,22145.23,0.51,86460,0
"D01","HARV","000","060","2017-01-15",113.21,-1.61,481.3,29717.32,0.59,86460,0
"D01","HARV","000","060","2017-01-16",114.18,-1.66,497.32,30012.28,0.59,85589,0
"D01","HARV","000","060","2017-01-17",66.75,-1.61,455.6,13929.3,0.4,86460,0
"D01","HARV","000","060","2017-01-18",23.16,-0.95,162.64,1339.72,0.12,86460,0
"D01","HARV","000","060","2017-01-19",85.17,-0.85,685.92,25156.57,0.54,86458,0
"D01","HARV","000","060","2017-01-20",25.76,-1.53,150.82,1765.06,0.14,86460,0
"D01","HARV","000","060","2017-01-21",70.05,-1.38,634.62,16564.72,0.44,86460,0
"D01","HARV","000","060","2017-01-22",19.99,-1.82,317.4,1906.58,0.15,86460,0
"D01","HARV","000","060","2017-01-23",28.87,-0.75,228.7,2134.07,0.16,86460,0
"D01","HARV","000","060","2017-01-24",21.17,-0.75,120.49,1056.49,0.11,86367,0
"D01","HARV","000","060","2017-01-25",94.1,-0.84,797.89,31490.34,0.6,86458,0
"D01","HARV","000","060","2017-01-26",58.4,-1.56,687.62,13887.41,0.4,86460,0
"D01","HARV","000","060","2017-01-27",65.31,-1.49,775.71,16287.93,0.43,86460,0
"D01","HARV","000","060","2017-01-28",37.26,-1.38,469.97,3214.81,0.19,86460,0
"D01","HARV","000","060","2017-01-29",66.47,-1.45,719.92,13527.89,0.4,86456,0
"D01","HARV","000","060","2017-01-30",92.84,-1.46,775.73,23071.82,0.52,84267,0
"D01","HARV","000","060","2017-01-31",75.41,-1.54,462.67,13388.97,0.39,86459,0
"D01","HARV","000","060","2017-02-02",85.97,-1.69,728.14,20424.45,0.49,86456,0
"D01","HARV","000","060","2017-02-03",108.05,-1.58,646.72,27633.87,0.57,86460,0
"D01","HARV","000","060","2017-02-04",140.4,-1.59,773.45,47611.02,0.74,86460,0
"D01","HARV","000","060","2017-02-05",86.02,-1.4,494.89,17279.57,0.45,86460,0
"D01","HARV","000","060","2017-02-11",34.58,-1,191.5,2797.55,0.18,86460,0
"D01","HARV","000","060","2017-02-19",125.37,-2.09,801.73,38477.02,0.67,86460,0
"D01","HARV","000","060","2017-02-21",150.17,-1.49,848.81,47047.13,0.74,86460,0
"D01","HARV","000","060","2017-02-23",171.7,-1.53,637.97,55934.57,0.8,86460,0
"D01","HARV","000","060","2017-02-24",158.63,-1.54,877.06,56066.29,0.81,86460,0
"D01","HARV","000","060","2017-02-25",84.49,-1.48,911.18,23289.81,0.52,86460,0
"D01","HARV","000","060","2017-02-26",150.21,-1.43,1064.09,58571.92,0.82,86460,0
"D01","HARV","000","060","2017-02-27",166.48,-1.68,718.8,56848.04,0.83,82963,0
"D01","HARV","000","060","2017-03-01",32.81,-0.95,302.39,2626,0.17,86460,0
"D01","HARV","000","060","2017-03-10",57.59,-1.54,436.39,6007.51,0.26,86458,0
"D01","HARV","000","060","2017-03-11",201.07,-1.66,928.32,73026.19,0.92,86460,0
"D01","HARV","000","060","2017-03-14",18.38,-1.41,149.81,748.24,0.09,86460,0
"D01","HARV","000","060","2017-04-04",34.64,-1.77,225.19,2175.32,0.16,86456,0
"D01","HARV","000","060","2017-04-05",110.36,-0.89,1219.35,23055.38,0.52,86460,0
"D01","HARV","000","060","2017-04-06",26.09,-0.85,194.16,1178.96,0.12,86460,0
"D01","HARV","000","060","2017-04-07",93.95,-1.3,971.3,17621.65,0.45,86450,0
"D01","HARV","000","060","2017-04-09",289.36,-1.99,890.25,116487.92,1.16,86460,0
"D01","HARV","000","060","2017-04-14",303.66,-1.87,921.61,126109.17,1.21,86456,0
"D01","HARV","000","060","2017-04-15",258.92,-2.02,978.91,110086.45,1.13,86460,0
"D01","HARV","000","060","2017-04-17",251.78,-2.61,1081.04,87831.58,1.01,86460,0
"D01","HARV","000","060","2017-04-18",311.77,-1.71,937.1,129474.91,1.22,86458,0
"D01","HARV","000","060","2017-04-19",189.84,-1.3,1273.18,77481.41,0.95,86460,0
"D01","HARV","000","060","2017-04-27",127.5,-1,804,22027.24,0.5,86458,0
"D01","HARV","000","060","2017-05-01",66.76,-0.59,283.52,6299.52,0.27,86460,0
"D01","HARV","000","060","2017-05-04",302.49,-1.81,1183.43,132756.86,1.24,86459,0
"D01","HARV","000","060","2017-05-06",152.26,-0.82,1313.01,62389.14,0.85,86460,0
"D01","HARV","000","060","2017-05-09",165.23,-1.38,1358.49,55123.81,0.8,86460,0
"D01","HARV","000","060","2017-05-10",159.49,-1.28,1154.08,40630.39,0.69,86460,0
"D01","HARV","000","060","2017-05-11",206.57,-1.18,1489.29,87379.12,1.01,86460,0
"D01","HARV","000","060","2017-05-13",111.37,-1.73,826.7,21019.67,0.49,86460,0
"D01","HARV","000","060","2017-05-15",106.36,-1.28,1555.05,26114.7,0.55,86460,0
"D01","HARV","000","060","2017-05-18",319.66,-1.87,1137.56,127824.85,1.22,86460,0
"D01","HARV","000","060","2017-05-19",309.23,-2.81,1154.63,124611.54,1.2,86460,0
"D01","HARV","000","060","2017-05-20",353.63,-1.63,1020.55,148289.99,1.31,86460,0
"D01","HARV","000","060","2017-05-24",206.18,-1.68,1147.93,56538.07,0.81,86459,0
"D01","HARV","000","060","2017-05-27",245.12,-1.38,1413.08,116139.92,1.16,86460,0
"D01","HARV","000","060","2017-06-09",238.39,-2.23,1240.18,69720.35,0.9,86460,0
"D01","HARV","000","060","2017-06-10",311.43,-2.43,1324.73,124283.12,1.2,86460,0
"D01","HARV","000","060","2017-06-15",314.22,-2.79,1331.2,125480.01,1.2,86460,0
"D01","HARV","000","060","2017-06-16",107.73,-1.73,704.87,18930.72,0.47,86460,0
"D01","HARV","000","060","2017-06-22",335.39,-2.89,1155.71,138580.42,1.27,86460,0
"D01","HARV","000","060","2017-06-27",218.51,-2.48,1515.4,79764.72,0.96,86447,0
"D01","HARV","000","060","2017-06-29",154.42,-2.3,908.3,31977,0.61,86460,0
"D01","HARV","000","060","2017-06-30",192.35,-1.79,1279.34,81297.42,0.97,86460,0
"D01","HARV","000","060","2017-07-01",213.06,-1.63,1436.53,95307.17,1.05,86460,0
"D01","HARV","000","060","2017-07-02",322.05,-1.64,1097.09,140543.77,1.27,86460,0
"D01","HARV","000","060","2017-07-04",323.39,-2.74,1207.81,137473.93,1.26,86460,0
"D01","HARV","000","060","2017-07-05",316.45,-2.28,1267.85,130671.52,1.23,86460,0
"D01","HARV","000","060","2017-07-07",80.77,-2.4,1082.45,11141.18,0.36,86460,0
"D01","HARV","000","060","2017-07-08",241.62,-2.5,1360.75,111812,1.14,86460,0
"D01","HARV","000","060","2017-07-11",177.36,-1.91,1291.46,58784.4,0.82,86460,0
"D01","HARV","000","060","2017-07-12",178.35,-2.07,1110.29,73034.88,0.92,86460,0
"D01","HARV","000","060","2017-07-14",58.89,-1.02,278.72,4464.51,0.23,86460,0
"D01","HARV","000","060","2017-07-15",213.09,-1.3,1368.05,104075.99,1.1,86460,0
"D01","HARV","000","060","2017-07-18",247.22,-1.96,1186.96,111381.48,1.15,84509,0
"D01","HARV","000","060","2017-07-19",259.53,-2.04,1246.84,118403.22,1.17,86460,0
"D01","HARV","000","060","2017-07-21",317.45,-2.47,1081.29,124613.62,1.2,86250,0
"D01","HARV","000","060","2017-07-23",261.73,-1.89,1151.44,87977.17,1.01,86460,0
"D01","HARV","000","060","2017-07-27",82.21,-2.68,832.3,12730.94,0.38,86460,0
"D01","HARV","000","060","2017-07-29",238.62,-2.58,981.31,79719.69,0.96,86460,0
"D01","HARV","000","060","2017-07-30",329.57,-2.76,972.24,133343.06,1.24,86460,0
"D01","HARV","000","060","2017-08-01",300.92,-1.83,1026.97,125954.17,1.21,86460,0
"D01","HARV","000","060","2017-08-02",215.55,-2.09,963.76,81015.44,1.01,79522,0
"D01","HARV","000","060","2017-08-03",340.47,-1.49,912.41,125859.91,1.26,78799,0
"D01","HARV","000","060","2017-08-04",187.58,-1.61,1205.08,72521.78,0.92,86460,0
"D01","HARV","000","060","2017-08-05",73.51,-1.44,1080.78,16080.06,0.43,86460,0
"D01","HARV","000","060","2017-08-07",126.1,-1.77,811.35,22537.61,0.51,86457,0
"D01","HARV","000","060","2017-08-09",299.11,-1.88,1087.9,120054.35,1.18,86460,0
"D01","HARV","000","060","2017-08-10",223.17,-1.88,1010.59,95499.64,1.05,86448,0
"D01","HARV","000","060","2017-08-12",195.05,-2.25,1367.22,59073.45,0.83,86460,0
"D01","HARV","000","060","2017-08-13",291.97,-1.19,1217.74,122720.05,1.19,86460,0
"D01","HARV","000","060","2017-08-15",101.26,-1.77,730.54,16803.04,0.44,86460,0
"D01","HARV","000","060","2017-08-16",272.49,-1.45,1176.52,111472.2,1.14,86460,0
"D01","HARV","000","060","2017-08-17",277.58,-1.9,977.26,112467.7,1.14,86459,0
"D01","HARV","000","060","2017-08-21",220.63,-1.74,1029.89,76564.63,0.94,86460,0
"D01","HARV","000","060","2017-08-22",227.46,-1.77,978.41,94636.52,1.05,86460,0
"D01","HARV","000","060","2017-08-24",278.7,-1.9,1049.15,114399.53,1.15,86452,0
"D01","HARV","000","060","2017-08-25",241.53,-1.63,1227.57,103683.87,1.1,86456,0
"D01","HARV","000","060","2017-08-26",261.34,-1.88,920.3,99792.56,1.07,86459,0
"D01","HARV","000","060","2017-08-28",259.09,-1.81,1058.73,109587.96,1.13,86460,0
"D01","HARV","000","060","2017-08-30",230.85,-1.76,1213.73,97358.37,1.06,86458,0
"D01","HARV","000","060","2017-09-02",250.9,-1.7,1065.22,103340.32,1.09,86460,0
"D01","HARV","000","060","2017-09-03",30.83,-1.33,178.96,1485.78,0.13,86460,0
"D01","HARV","000","060","2017-09-06",43.17,-1.7,947.17,6618.17,0.28,86460,0
"D01","HARV","000","060","2017-09-10",202.66,-1.68,1049.98,71104.17,0.91,86460,0
"D01","HARV","000","060","2017-09-11",191.81,-1.79,807.27,86056.17,1.08,73174,0
"D01","HARV","000","060","2017-09-12",245.62,-2.08,804.79,94007.25,1.04,86460,0
"D01","HARV","000","060","2017-09-13",221.83,-2.04,967.36,85298.51,0.99,86460,0
"D01","HARV","000","060","2017-09-17",179.83,-1.86,955.29,72153.66,0.91,86460,0
"D01","HARV","000","060","2017-09-18",112.06,-1.61,1102.88,36734.73,0.65,86460,0
"D01","HARV","000","060","2017-09-19",96,-0.94,962.83,21019.28,0.49,86460,0
"D01","HARV","000","060","2017-09-20",75.27,-1.54,873.3,10789.86,0.35,86460,0
"D01","HARV","000","060","2017-09-23",223.41,-1.84,757.69,81418.71,0.97,86460,0
"D01","HARV","000","060","2017-09-25",165.96,-2.08,875.88,72704.91,1.09,61666,1
"D01","HARV","000","060","2017-09-27",NA,NA,NA,NA,NA,0,1
"D01","HARV","000","060","2017-10-02",210.26,-2.04,725.43,74901.43,0.93,86460,0
"D01","HARV","000","060","2017-10-03",202.67,-1.84,797.57,71604.98,0.91,86457,0
"D01","HARV","000","060","2017-10-04",204.06,-1.65,719.45,72742.49,0.92,86460,0
"D01","HARV","000","060","2017-10-06",72.44,-1.81,866.02,10419.93,0.35,86459,0
"D01","HARV","000","060","2017-10-07",126.89,-2.04,849.98,39578.02,0.68,86460,0
"D01","HARV","000","060","2017-10-09",26.18,-1.22,235.54,1859.3,0.15,86460,0
"D01","HARV","000","060","2017-10-10",170.87,-1.86,955.14,60569.84,0.84,85742,0
"D01","HARV","000","060","2017-10-11",90.42,-1.81,848.12,27721.63,0.57,86460,0
"D01","HARV","000","060","2017-10-12",188.25,-1.79,682.4,64688.55,0.86,86460,0
"D01","HARV","000","060","2017-10-13",184.73,-1.68,673.89,63226.77,0.86,86460,0
"D01","HARV","000","060","2017-10-14",125.43,-1.63,1020.62,40533.28,0.68,86460,0
"D01","HARV","000","060","2017-10-15",61.37,-1.61,749.63,9327.93,0.33,86460,0
"D01","HARV","000","060","2017-10-17",178.78,-1.67,653.49,59752.88,0.83,86460,0
"D01","HARV","000","060","2017-10-18",172.7,-1.83,636.89,56505.87,0.81,86458,0
"D01","HARV","000","060","2017-10-19",168.47,-1.88,633.74,55794.59,0.8,86460,0
"D01","HARV","000","060","2017-10-21",156.3,-1.88,612.36,51374.53,0.77,86460,0
"D01","HARV","000","060","2017-10-22",143.23,-1.97,747.82,44742.84,0.72,86460,0
"D01","HARV","000","060","2017-10-23",87.83,-1.79,940.71,19692.09,0.48,85151,0
"D01","HARV","000","060","2017-10-24",41.03,-1.36,462.63,6220.67,0.27,86460,0
"D01","HARV","000","060","2017-10-25",30.96,-1.22,332.31,3160.94,0.19,86460,0
"D01","HARV","000","060","2017-10-26",24.76,-1.13,192.1,1699.21,0.14,86460,0
"D01","HARV","000","060","2017-10-27",152.8,-1.81,610.33,47258.64,0.74,86460,0
"D01","HARV","000","060","2017-10-31",119.14,-1.67,705.32,36804.36,0.65,86460,0
"D01","HARV","000","060","2017-11-01",49.52,-1.72,407.07,7540.55,0.3,86458,0
"D01","HARV","000","060","2017-11-02",62.99,-1.49,610.14,12039.97,0.37,86460,0
"D01","HARV","000","060","2017-11-04",114.95,-1.76,658.89,30450.96,0.59,86460,0
"D01","HARV","000","060","2017-11-06",80.69,-1.54,578.16,21345.86,0.5,86454,0
"D01","HARV","000","060","2017-11-07",112.61,-1.61,614.72,31766.83,0.61,86460,0
"D01","HARV","000","060","2017-11-08",128.72,-1.7,717.41,38235.33,0.67,86460,0
"D01","HARV","000","060","2017-11-09",131.83,-1.52,564.82,39369.84,0.67,86460,0
"D01","HARV","000","060","2017-11-10",136.05,-1.6,546.9,40088.94,0.68,86460,0
"D01","HARV","000","060","2017-11-11",118.28,-1.54,539.52,35311.74,0.64,86460,0
"D01","HARV","000","060","2017-11-12",28,-1.63,173.51,1785.6,0.14,86460,0
"D01","HARV","000","060","2017-11-13",30.43,-0.78,249.47,2208.95,0.16,86460,0
"D01","HARV","000","060","2017-11-14",100.85,-1.49,676.22,28838.51,0.58,86458,0
"D01","HARV","000","060","2017-11-15",26.85,-1.35,632.88,2637.54,0.17,86460,0
"D01","HARV","000","060","2017-11-16",99.24,-1.65,641.25,30221.19,0.59,86460,0
"D01","HARV","000","060","2017-11-17",49.61,-1.61,398.37,6758.07,0.28,86460,0
"D01","HARV","000","060","2017-11-18",63.43,-0.9,704.42,20399.68,0.49,86460,0
