"uid","namedLocation","plotID","collectDate","identifiedDate","sampleID","subsampleID","scientificName","acceptedTaxonID","taxonRank","family","subfamily","tribe","subtribe","genus","subgenus","specificEpithet","infraspecificEpithet","identificationQualifier","identificationReferences","identificationProtocolVersion","scientificNameAuthorship","sexOrAge","individualCount","sampleCondition","archiveMedium","archiveFacilityID","deprecatedVialID","identifiedBy","laboratoryName","remarks"
"a0307715-6fe5-4570-8476-27055bd15a2b","BART_029.tickPlot.tck","BART_029","2018-06-11T18:03Z","2018-11-15T17:00Z","BART_029.20180611","BART_029.20180611.DERVAR.M","Dermacentor variabilis","DERVAR","species","Ixodidae",NA,NA,NA,"Dermacentor",NA,"variabilis",NA,NA,"Yunker, C. E., Keirans, J. E., Clifford, C. M., and E. R. Easton. 1986. Dermacentor ticks (Acari: Ixodoidea: Ixodidae) of the New World: a scanning electron microscope atlas. Proceedings of the Entomological Society of Washington, 88(4):609-627.","GSU_tickIdentification_SOP_2016-11-01.pdf","Say","Male",1,"OK","90% ethanol","USNMENT01482727",NA,"Arianna Gibbs","Georgia Southern University",NA
"3f8c6879-3be2-493d-bec7-2c48ef70080b","BLAN_012.tickPlot.tck","BLAN_012","2017-03-30T15:47Z","2018-01-30T17:00Z","BLAN_012.20170330","BLAN_012.20170330.IXOSCA.M","Ixodes scapularis","IXOSCA","species","Ixodidae",NA,NA,NA,"Ixodes",NA,"scapularis",NA,NA,"Cooley, R. A. and G. M. Kohls. 1945. The genus Ixodes in North America. National Institute of Health Bulletin, 184.","GSU_tickIdentification_SOP_2016-11-01.pdf","Say","Male",1,"OK","90% ethanol","USNMENT00984965","BLAN_012.20170330.IXOSCA.M","Lorenza Beati","Georgia Southern University","RNA"
"8cfc9022-a96e-42ed-87ee-7a55a4b78b19","BLAN_005.tickPlot.tck","BLAN_005","2017-04-18T18:14Z","2018-01-30T17:00Z","BLAN_005.20170418","BLAN_005.20170418.IXOSCA.N","Ixodes scapularis","IXOSCA","species","Ixodidae",NA,NA,NA,"Ixodes",NA,"scapularis",NA,NA,"Cooley, R. A. and G. M. Kohls. 1945. The genus Ixodes in North America. National Institute of Health Bulletin, 184.","GSU_tickIdentification_SOP_2016-11-01.pdf","Say","Nymph",1,"OK","90% ethanol","USNMENT00984979","BLAN_005.20170418.IXOSCA.N","Lorenza Beati","Georgia Southern University","RNA"
"5e8e6ef5-1102-42fd-81fa-87d9b7f8ff2b","BLAN_012.tickPlot.tck","BLAN_012","2017-04-18T19:34Z","2018-01-30T17:00Z","BLAN_012.20170418","BLAN_012.20170418.DERVAR.M","Dermacentor variabilis","DERVAR","species","Ixodidae",NA,NA,NA,"Dermacentor",NA,"variabilis",NA,NA,"Yunker, C. E., Keirans, J. E., Clifford, C. M., and E. R. Easton. 1986. Dermacentor ticks (Acari: Ixodoidea: Ixodidae) of the New World: a scanning electron microscope atlas. Proceedings of the Entomological Society of Washington, 88(4):609-627.","GSU_tickIdentification_SOP_2016-11-01.pdf","Say","Male",1,"OK","90% ethanol","USNMENT01430098","BLAN_012.20170418.DERVAR.M","Lorenza Beati","Georgia Southern University","RNA"
"0e1a8090-711b-4b0a-9231-457646bb0249","BLAN_015.tickPlot.tck","BLAN_015","2017-05-08T18:10Z","2018-01-02T17:00Z","BLAN_015.20170508","BLAN_015.20170508.IXOSCA.N","Ixodes scapularis","IXOSCA","species","Ixodidae",NA,NA,NA,"Ixodes",NA,"scapularis",NA,NA,"Cooley, R. A. and G. M. Kohls. 1945. The genus Ixodes in North America. National Institute of Health Bulletin, 184.","GSU_tickIdentification_SOP_2016-11-01.pdf","Say","Nymph",1,"OK","90% ethanol","USNMENT01358419","BLAN_015.20170508.IXOSCA.N","Lorenza Beati","Georgia Southern University",NA
"710f72c0-bc38-43b1-9363-9f526eaa130d","BLAN_015.tickPlot.tck","BLAN_015","2017-05-08T18:10Z","2018-01-02T17:00Z","BLAN_015.20170508","BLAN_015.20170508.AMBAME.F","Amblyomma americanum","AMBAME","species","Ixodidae",NA,NA,NA,"Amblyomma",NA,"americanum",NA,NA,"Cooley, R. A. and G. M. Kohls. 1944. The genus Amblyomma (ixodidae) in the United States. The Journal of Parasitology, 30(2):77-111.","GSU_tickIdentification_SOP_2016-11-01.pdf","Linnaeus","Female",1,"OK","90% ethanol","USNMENT01358418","BLAN_015.20170508.AMBAME.F","Lorenza Beati","Georgia Southern University",NA
"d4f72c02-90d7-4b82-aa7d-32943344d729","BLAN_005.tickPlot.tck","BLAN_005","2017-05-08T19:12Z","2018-01-30T17:00Z","BLAN_005.20170508","BLAN_005.20170508.IXOSCA.N","Ixodes scapularis","IXOSCA","species","Ixodidae",NA,NA,NA,"Ixodes",NA,"scapularis",NA,NA,"Cooley, R. A. and G. M. Kohls. 1945. The genus Ixodes in North America. National Institute of Health Bulletin, 184.","GSU_tickIdentification_SOP_2016-11-01.pdf","Say","Nymph",25,"OK","90% ethanol","USNMENT01358410","BLAN_005.20170508.IXOSCA.N","Lorenza Beati","Georgia Southern University",NA
"ebc295f0-4e50-4033-8973-4294594684c7","BLAN_012.tickPlot.tck","BLAN_012","2017-06-01T15:25Z","2018-01-30T17:00Z","BLAN_012.20170601","BLAN_012.20170601.IXOSCA.N","Ixodes scapularis","IXOSCA","species","Ixodidae",NA,NA,NA,"Ixodes",NA,"scapularis",NA,NA,"Cooley, R. A. and G. M. Kohls. 1945. The genus Ixodes in North America. National Institute of Health Bulletin, 184.","GSU_tickIdentification_SOP_2016-11-01.pdf","Say","Nymph",2,"OK","90% ethanol","USNMENT01358415","BLAN_012.20170601.IXOSCA.N","Lorenza Beati","Georgia Southern University",""
"8f4e2bfd-0fa8-4b76-8618-1ccbfc4c7ae0","BLAN_015.tickPlot.tck","BLAN_015","2017-06-01T16:49Z","2018-01-02T17:00Z","BLAN_015.20170601","BLAN_015.20170601.IXOSCA.N","Ixodes scapularis","IXOSCA","species","Ixodidae",NA,NA,NA,"Ixodes",NA,"scapularis",NA,NA,"Cooley, R. A. and G. M. Kohls. 1945. The genus Ixodes in North America. National Institute of Health Bulletin, 184.","GSU_tickIdentification_SOP_2016-11-01.pdf","Say","Nymph",1,"OK","90% ethanol","USNMENT01358420","BLAN_015.20170601.IXOSCA.N","Lorenza Beati","Georgia Southern University",""
"766813f3-aa33-4d30-a741-9cc5e9a5cb56","BLAN_005.tickPlot.tck","BLAN_005","2017-06-01T17:59Z","2018-01-30T17:00Z","BLAN_005.20170601","BLAN_005.20170601.IXOSCA.N","Ixodes scapularis","IXOSCA","species","Ixodidae",NA,NA,NA,"Ixodes",NA,"scapularis",NA,NA,"Cooley, R. A. and G. M. Kohls. 1945. The genus Ixodes in North America. National Institute of Health Bulletin, 184.","GSU_tickIdentification_SOP_2016-11-01.pdf","Say","Nymph",37,"OK","90% ethanol","USNMENT01358411","BLAN_005.20170601.IXOSCA.N","Lorenza Beati","Georgia Southern University",""
