"uid","namedLocation","domainID","siteID","plotID","plotType","nlcdClass","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertainty","elevation","elevationUncertainty","collectDate","endDate","subsampleID","testedDate","testingID","batchID","individualCount","sampleCondition","testProtocolVersion","testResult","testPathogenName","remarks","testedBy","laboratoryName"
"f1a142be-5a00-4b01-9916-7fc14a47dc23","BLAN_005.tickPlot.tck","D02","BLAN","BLAN_005","distributed","deciduousForest",39.086223,-77.972729,"WGS84",20.2,169.1,0.3,"2017-05-08T19:12Z","2017-05-08T19:55Z","BLAN_005.20170508.IXOSCA.N","2018-06-13","BLAN_005.20170508.IXOSCA.N.T.003","NEON_20180504",1,"OK","UMASS_LMZ_tickPathogens_SOP_2016-08-29.pdf","Positive","HardTick DNA Quality",NA,"0IRskLNY9jFEdSE177Ndsw==","University of Massachusetts Laboratory of Medical Zoology"
"261b211b-1bd5-47e2-b4fd-fc0cc6e872ed","BLAN_005.tickPlot.tck","D02","BLAN","BLAN_005","distributed","deciduousForest",39.086223,-77.972729,"WGS84",20.2,169.1,0.3,"2017-05-08T19:12Z","2017-05-08T19:55Z","BLAN_005.20170508.IXOSCA.N","2018-06-13","BLAN_005.20170508.IXOSCA.N.T.017","NEON_20180504",1,"OK","UMASS_LMZ_tickPathogens_SOP_2016-08-29.pdf","","Francisella tularensis",NA,"0IRskLNY9jFEdSE177Ndsw==","University of Massachusetts Laboratory of Medical Zoology"
"feea9b8f-ceb7-43ad-a697-dc9d68b71e2f","BLAN_005.tickPlot.tck","D02","BLAN","BLAN_005","distributed","deciduousForest",39.086223,-77.972729,"WGS84",20.2,169.1,0.3,"2017-05-08T19:12Z","2017-05-08T19:55Z","BLAN_005.20170508.IXOSCA.N","2018-06-13","BLAN_005.20170508.IXOSCA.N.T.008","NEON_20180504",1,"OK","UMASS_LMZ_tickPathogens_SOP_2016-08-29.pdf","Negative","Ehrlichia muris-like",NA,"0IRskLNY9jFEdSE177Ndsw==","University of Massachusetts Laboratory of Medical Zoology"
"7af346b5-f8ec-404d-bbc2-63f9e204a726","BLAN_005.tickPlot.tck","D02","BLAN","BLAN_005","distributed","deciduousForest",39.086223,-77.972729,"WGS84",20.2,169.1,0.3,"2017-05-08T19:12Z","2017-05-08T19:55Z","BLAN_005.20170508.IXOSCA.N","2018-06-13","BLAN_005.20170508.IXOSCA.N.T.014","NEON_20180504",1,"OK","UMASS_LMZ_tickPathogens_SOP_2016-08-29.pdf","Negative","Ehrlichia muris-like",NA,"0IRskLNY9jFEdSE177Ndsw==","University of Massachusetts Laboratory of Medical Zoology"
"a3662895-b108-4445-bf6e-f5471418479b","BLAN_005.tickPlot.tck","D02","BLAN","BLAN_005","distributed","deciduousForest",39.086223,-77.972729,"WGS84",20.2,169.1,0.3,"2017-05-08T19:12Z","2017-05-08T19:55Z","BLAN_005.20170508.IXOSCA.N","2018-06-13","BLAN_005.20170508.IXOSCA.N.T.016","NEON_20180504",1,"OK","UMASS_LMZ_tickPathogens_SOP_2016-08-29.pdf","Positive","Borrelia burgdorferi sensu lato",NA,"0IRskLNY9jFEdSE177Ndsw==","University of Massachusetts Laboratory of Medical Zoology"
"a58e66eb-a11c-4a5a-8151-3f8ba3c77da5","BLAN_005.tickPlot.tck","D02","BLAN","BLAN_005","distributed","deciduousForest",39.086223,-77.972729,"WGS84",20.2,169.1,0.3,"2017-05-08T19:12Z","2017-05-08T19:55Z","BLAN_005.20170508.IXOSCA.N","2018-06-13","BLAN_005.20170508.IXOSCA.N.T.011","NEON_20180504",1,"OK","UMASS_LMZ_tickPathogens_SOP_2016-08-29.pdf","Negative","Borrelia miyamotoi",NA,"0IRskLNY9jFEdSE177Ndsw==","University of Massachusetts Laboratory of Medical Zoology"
"28a76a69-4f8d-4b0e-b029-6e1fa63a03e9","BLAN_005.tickPlot.tck","D02","BLAN","BLAN_005","distributed","deciduousForest",39.086223,-77.972729,"WGS84",20.2,169.1,0.3,"2017-05-08T19:12Z","2017-05-08T19:55Z","BLAN_005.20170508.IXOSCA.N","2018-06-13","BLAN_005.20170508.IXOSCA.N.T.002","NEON_20180504",1,"OK","UMASS_LMZ_tickPathogens_SOP_2016-08-29.pdf","Negative","Ehrlichia muris-like",NA,"0IRskLNY9jFEdSE177Ndsw==","University of Massachusetts Laboratory of Medical Zoology"
"db10f99c-6283-47e8-a27b-bbd183b94b67","BLAN_005.tickPlot.tck","D02","BLAN","BLAN_005","distributed","deciduousForest",39.086223,-77.972729,"WGS84",20.2,169.1,0.3,"2017-05-08T19:12Z","2017-05-08T19:55Z","BLAN_005.20170508.IXOSCA.N","2018-06-13","BLAN_005.20170508.IXOSCA.N.T.013","NEON_20180504",1,"OK","UMASS_LMZ_tickPathogens_SOP_2016-08-29.pdf","Negative","Babesia microti",NA,"0IRskLNY9jFEdSE177Ndsw==","University of Massachusetts Laboratory of Medical Zoology"
"1e1180df-441f-461c-bc84-941014630bf6","BLAN_005.tickPlot.tck","D02","BLAN","BLAN_005","distributed","deciduousForest",39.086223,-77.972729,"WGS84",20.2,169.1,0.3,"2017-05-08T19:12Z","2017-05-08T19:55Z","BLAN_005.20170508.IXOSCA.N","2018-06-13","BLAN_005.20170508.IXOSCA.N.T.014","NEON_20180504",1,"OK","UMASS_LMZ_tickPathogens_SOP_2016-08-29.pdf","Negative","Babesia microti",NA,"0IRskLNY9jFEdSE177Ndsw==","University of Massachusetts Laboratory of Medical Zoology"
"5a62e24f-50d7-41b7-b0e4-13e27a70c02e","BLAN_005.tickPlot.tck","D02","BLAN","BLAN_005","distributed","deciduousForest",39.086223,-77.972729,"WGS84",20.2,169.1,0.3,"2017-05-08T19:12Z","2017-05-08T19:55Z","BLAN_005.20170508.IXOSCA.N","2018-06-13","BLAN_005.20170508.IXOSCA.N.T.008","NEON_20180504",1,"OK","UMASS_LMZ_tickPathogens_SOP_2016-08-29.pdf","","Rickettsia rickettsii",NA,"0IRskLNY9jFEdSE177Ndsw==","University of Massachusetts Laboratory of Medical Zoology"
