date,wssRHMean,wssRHMinimum,wssRHMaximum,wssRHVariance,wssRHStdErMean,wssRHNumPts,RHQF,wssDewTempMean,wssDewTempMinimum,wssDewTempMaximum,wssDewTempVariance,wssDewTempStdErMean,wssDewTempNumPts,dewTempQF
"2019-10-01",89.02,70.49,98.19,68.59,0.03,78837.0,1,12.494,8.175,16.826,6.974,0.009,78837.0,1
"2019-10-02",90.15,68.84,97.32,23.22,0.02,76628.0,1,17.076,10.890,18.826,1.901,0.005,76628.0,1
"2019-10-03",84.40,70.31,98.32,74.81,0.03,77919.0,1,4.741,2.042,11.130,3.171,0.006,77919.0,1
"2019-10-04",81.71,52.63,99.58,297.84,0.07,61949.0,1,5.451,0.465,9.170,6.446,0.009,78179.0,1
"2019-10-05",60.36,34.02,79.50,191.22,0.05,78489.0,1,-1.096,-2.446,1.159,0.422,0.002,78489.0,1
"2019-10-06",77.87,50.04,97.13,118.00,0.04,78285.0,1,5.681,-1.330,14.612,24.174,0.018,78285.0,1
"2019-10-07",90.39,75.43,98.66,35.97,0.02,70835.0,1,15.014,12.157,16.943,0.624,0.003,70836.0,1
"2019-10-08",85.42,59.24,99.17,192.31,0.05,78412.0,1,9.465,5.578,12.572,3.763,0.007,78412.0,1
"2019-10-09",77.93,66.17,90.07,44.99,0.02,77728.0,1,5.479,3.691,7.782,1.212,0.004,77728.0,1
"2019-10-10",66.06,45.06,89.46,179.62,0.05,78184.0,1,3.324,0.385,6.082,2.685,0.006,78184.0,1
"2019-10-11",59.54,43.83,75.72,72.90,0.03,78163.0,1,2.546,1.076,4.786,0.668,0.003,78163.0,1
"2019-10-12",85.71,58.58,97.47,73.01,0.03,77990.0,1,7.650,3.022,10.609,1.544,0.004,77990.0,1
"2019-10-13",76.04,33.84,95.74,334.90,0.07,78025.0,1,6.712,0.220,9.585,5.581,0.008,78025.0,1
"2019-10-14",67.56,36.61,90.61,164.97,0.05,77967.0,1,6.060,-1.546,10.575,11.267,0.012,77967.0,1
"2019-10-15",58.97,34.88,79.92,197.98,0.05,78178.0,1,1.655,-3.625,9.541,6.852,0.009,78178.0,1
"2019-10-16",69.78,50.25,97.73,123.28,0.04,78339.0,1,3.861,0.091,8.695,6.428,0.009,78339.0,1
"2019-10-17",97.00,93.86,98.23,0.74,0.01,25156.0,1,10.145,8.683,11.434,0.510,0.005,25142.0,1
"2019-10-18",,,,,,0.0,1,,,,,,0.0,1
"2019-10-19",,,,,,0.0,1,,,,,,0.0,1
"2019-10-20",,,,,,0.0,1,,,,,,0.0,1
"2019-10-21",60.36,47.38,76.85,60.98,0.05,24154.0,1,6.782,4.883,7.891,0.420,0.004,24154.0,1
"2019-10-22",84.39,71.85,98.25,55.85,0.03,66105.0,1,6.280,2.781,9.363,3.986,0.008,66117.0,1
"2019-10-23",77.23,35.49,99.30,579.00,0.09,70382.0,1,7.489,-0.587,11.545,15.002,0.014,78259.0,1
"2019-10-24",51.58,34.52,75.99,134.70,0.04,78180.0,1,0.846,-1.461,2.296,0.581,0.003,78180.0,1
"2019-10-25",65.42,46.02,77.25,45.51,0.02,78232.0,1,4.473,1.424,7.222,1.950,0.005,78232.0,1
"2019-10-26",76.15,43.21,98.81,397.51,0.07,78356.0,1,3.915,-1.455,6.711,8.115,0.010,78356.0,1
"2019-10-27",84.66,53.82,98.64,183.71,0.05,78508.0,1,4.069,-0.013,6.651,3.929,0.007,78508.0,1
"2019-10-28",94.47,85.84,98.77,18.23,0.02,72526.0,1,6.692,5.965,7.873,0.305,0.002,76317.0,1
"2019-10-29",96.71,84.32,98.93,4.27,0.01,59073.0,1,7.619,6.600,9.702,1.101,0.004,59078.0,1
"2019-10-30",94.53,80.19,99.82,32.69,0.02,68084.0,1,11.308,9.688,13.964,1.606,0.005,78017.0,1
"2019-10-31",97.16,89.50,99.71,6.42,0.01,65795.0,1,15.245,13.035,18.153,3.305,0.006,78734.0,1
