date,wssRHMean,wssRHMinimum,wssRHMaximum,wssRHVariance,wssRHStdErMean,wssRHNumPts,RHQF,wssDewTempMean,wssDewTempMinimum,wssDewTempMaximum,wssDewTempVariance,wssDewTempStdErMean,wssDewTempNumPts,dewTempQF
"2018-06-01",77.59,46.69,99.54,271.67,0.06,77915.0,1,19.284,15.727,21.485,1.352,0.004,77915.0,1
"2018-06-02",92.99,74.56,99.68,30.18,0.02,74622.0,1,19.633,18.512,21.375,0.349,0.002,78149.0,1
"2018-06-03",97.94,93.86,100.11,3.04,0.01,51321.0,1,16.779,12.234,19.210,5.487,0.008,78508.0,1
"2018-06-04",79.88,41.15,100.20,534.14,0.09,73918.0,1,12.082,8.837,15.483,1.732,0.005,78480.0,1
"2018-06-05",49.43,38.05,62.92,31.59,0.02,78094.0,1,8.716,5.271,10.922,0.756,0.003,78094.0,1
"2018-06-06",67.98,47.88,93.03,177.97,0.05,77996.0,1,9.808,6.696,12.987,3.213,0.006,77996.0,1
"2018-06-07",66.65,54.40,83.27,39.53,0.02,77931.0,1,10.533,7.271,15.132,7.415,0.010,77931.0,1
"2018-06-08",69.24,51.71,86.28,37.46,0.02,74313.0,1,16.087,13.831,19.202,3.141,0.007,74313.0,1
"2018-06-09",70.16,47.35,98.39,62.14,0.03,77868.0,1,18.229,16.252,20.969,1.410,0.004,77868.0,1
"2018-06-10",86.28,69.82,96.41,33.54,0.02,78288.0,1,18.140,15.079,21.212,1.869,0.005,78288.0,1
"2018-06-11",98.43,90.33,100.37,3.48,0.01,74553.0,1,15.020,12.617,20.921,4.018,0.007,78337.0,1
"2018-06-12",84.57,63.57,98.68,150.52,0.05,74262.0,1,13.299,10.524,15.578,0.972,0.004,74262.0,1
"2018-06-13",81.16,59.28,96.87,78.42,0.03,78103.0,1,17.507,14.664,21.952,4.641,0.008,78103.0,1
"2018-06-14",53.20,25.05,85.28,303.00,0.06,78147.0,1,12.795,5.008,20.950,23.467,0.017,78144.0,1
"2018-06-15",43.14,33.65,58.48,23.31,0.02,77965.0,1,9.520,7.088,14.016,1.937,0.005,77965.0,1
"2018-06-16",44.62,30.06,63.26,33.18,0.02,63089.0,1,10.438,6.873,15.848,3.351,0.007,63089.0,1
"2018-06-17",,,,,,0.0,1,,,,,,0.0,1
"2018-06-18",55.65,43.24,65.38,25.62,0.05,10537.0,1,21.133,19.719,22.581,0.218,0.005,10547.0,1
"2018-06-19",,,,,,0.0,1,,,,,,0.0,1
"2018-06-20",,,,,,0.0,1,,,,,,0.0,1
"2018-06-21",,,,,,0.0,1,,,,,,0.0,1
"2018-06-22",,,,,,0.0,1,,,,,,0.0,1
"2018-06-23",,,,,,0.0,1,,,,,,0.0,1
"2018-06-24",,,,,,0.0,1,,,,,,0.0,1
"2018-06-25",,,,,,0.0,1,,,,,,0.0,1
"2018-06-26",,,,,,0.0,1,,,,,,0.0,1
"2018-06-27",,,,,,0.0,1,,,,,,0.0,1
"2018-06-28",,,,,,0.0,1,,,,,,0.0,1
"2018-06-29",,,,,,0.0,1,,,,,,0.0,1
"2018-06-30",,,,,,0.0,1,,,,,,0.0,1
