date,wssPrecipTotal,precipQF
"2018-07-01",0.070,0
"2018-07-02",0.140,0
"2018-07-03",0.170,0
"2018-07-04",2.950,0
"2018-07-05",0.610,0
"2018-07-06",0.120,0
"2018-07-07",0.000,0
"2018-07-08",0.000,0
"2018-07-09",0.000,0
"2018-07-10",0.020,0
"2018-07-12",0.040,0
"2018-07-13",0.070,0
"2018-07-14",0.000,0
"2018-07-15",0.540,0
"2018-07-16",0.080,1
"2018-07-17",0.000,1
"2018-07-18",0.000,1
"2018-07-19",0.000,1
"2018-07-20",0.110,0
"2018-07-21",21.470,0
"2018-07-22",3.220,0
"2018-07-23",8.020,0
"2018-07-24",26.880,0
"2018-07-25",52.870,0
"2018-07-26",0.540,0
"2018-07-27",0.260,0
"2018-07-28",0.230,0
"2018-07-29",0.170,0
"2018-07-30",19.170,0
"2018-07-31",0.440,0
