date,wssTempTripleMean,wssTempTripleMinimum,wssTempTripleMaximum,wssTempTripleVariance,wssTempTripleStdErMean,wssTempTripleNumPts,tempTripleQF
"2019-05-01",,,,,,0.0,1
"2019-05-02",,,,,,0.0,1
"2019-05-03",,,,,,0.0,1
"2019-05-04",,,,,,0.0,1
"2019-05-05",,,,,,0.0,1
"2019-05-06",,,,,,0.0,1
"2019-05-07",22.8421,20.8818,24.4074,0.6090,0.0056,19646.0,1
"2019-05-08",16.8559,13.1797,22.1206,5.9292,0.0083,86400.0,0
"2019-05-09",16.2448,13.9172,22.1340,7.2419,0.0092,86400.0,0
"2019-05-10",19.6586,16.8790,23.8938,4.9581,0.0076,86400.0,0
"2019-05-11",15.3946,12.3326,19.9797,6.4600,0.0086,86400.0,0
"2019-05-12",11.0186,9.9655,12.6410,0.3403,0.0020,86400.0,0
"2019-05-13",9.0022,6.8805,14.1960,4.0408,0.0068,86400.0,0
"2019-05-14",10.0152,7.4290,13.1090,1.2824,0.0039,86399.0,0
"2019-05-16",17.8352,12.6650,22.5232,6.9124,0.0089,86321.0,0
"2019-05-17",20.7884,16.1479,24.8118,3.5442,0.0064,86400.0,0
"2019-05-18",22.5280,18.7560,26.1366,2.8145,0.0057,86369.0,0
"2019-05-19",22.9186,17.8959,28.6915,11.2264,0.0114,86400.0,0
"2019-05-20",25.1192,21.9118,27.8800,1.8720,0.0047,86400.0,0
"2019-05-21",16.6842,11.9500,25.0915,10.6023,0.0111,86400.0,0
"2019-05-22",15.6789,12.2698,20.0283,5.1211,0.0077,86399.0,0
"2019-05-23",20.9623,15.4524,27.8996,14.0365,0.0128,86308.0,0
"2019-05-24",23.5156,18.6420,27.0397,6.3855,0.0086,86400.0,0
"2019-05-25",21.8211,16.8141,25.4880,5.2818,0.0078,86400.0,0
"2019-05-26",24.2812,20.0334,28.3038,5.0090,0.0076,86400.0,0
"2019-05-27",21.6498,17.9587,25.5337,4.6616,0.0073,86400.0,0
"2019-05-28",24.1474,17.6228,30.1060,12.4015,0.0120,86400.0,0
"2019-05-29",26.4477,24.0296,28.9680,1.5404,0.0042,86400.0,0
"2019-05-30",23.1938,19.6377,26.3090,2.1955,0.0050,86284.0,0
"2019-05-31",21.3904,18.5609,25.6829,3.7633,0.0066,86400.0,0
