date,wssTempTripleMean,wssTempTripleMinimum,wssTempTripleMaximum,wssTempTripleVariance,wssTempTripleStdErMean,wssTempTripleNumPts,tempTripleQF
"2018-07-01",25.3287,21.9427,30.8305,9.1529,0.0106,81270.0,0
"2018-07-02",26.9859,22.8502,33.6587,10.8994,0.0129,65580.0,1
"2018-07-03",26.4137,23.8794,32.0340,3.8294,0.0067,85020.0,0
"2018-07-04",25.3458,21.4793,28.8520,2.1317,0.0056,67500.0,1
"2018-07-05",24.6813,22.6478,29.7196,3.5089,0.0072,67470.0,1
"2018-07-06",25.5341,23.1258,31.3958,5.4956,0.0080,85560.0,0
"2018-07-07",24.3846,21.6072,29.7533,4.9569,0.0076,85740.0,0
"2018-07-08",26.2489,22.8996,30.8977,5.5781,0.0080,86400.0,0
"2018-07-09",26.0486,23.3320,32.1539,5.7843,0.0083,84870.0,0
"2018-07-10",26.7096,23.7891,32.4289,7.8102,0.0100,78354.0,0
"2018-07-11",27.8758,23.4885,33.1978,9.2441,0.0104,86220.0,0
"2018-07-12",27.8777,23.6897,33.3333,8.6060,0.0100,85560.0,0
"2018-07-13",27.8500,23.9739,33.1890,8.5074,0.0106,75690.0,0
"2018-07-14",27.5143,24.5000,32.1354,5.9171,0.0108,51030.0,1
"2018-07-15",26.1755,23.8165,31.4454,3.7817,0.0067,85230.0,0
"2018-07-16",27.0204,23.7565,31.5825,4.2723,0.0071,84600.0,0
"2018-07-17",25.4018,23.7369,30.3151,1.6402,0.0044,84270.0,0
"2018-07-18",25.8505,22.0744,30.6262,2.9561,0.0060,82080.0,0
"2018-07-19",25.6810,23.5832,27.8270,1.0262,0.0036,77940.0,0
"2018-07-20",25.4278,24.5938,28.0111,0.3704,0.0022,76800.0,0
"2018-07-21",25.3541,21.3238,31.7073,4.7977,0.0077,79890.0,0
"2018-07-22",25.3069,21.2494,30.4948,3.3341,0.0077,56610.0,1
"2018-07-23",26.8178,20.5635,31.2257,8.6068,0.0158,34320.0,1
"2018-07-24",25.7586,22.1672,30.0013,3.9819,0.0116,29460.0,1
"2018-07-25",26.3814,23.5007,31.5040,5.1227,0.0078,84660.0,0
"2018-07-26",26.3798,24.3825,28.9869,1.8907,0.0047,85710.0,0
"2018-07-27",27.3622,23.0755,33.5105,11.2099,0.0115,85230.0,0
"2018-07-28",26.9816,23.3965,33.3470,8.7267,0.0101,84810.0,0
"2018-07-29",26.1904,22.8179,32.5542,7.8584,0.0096,85290.0,0
"2018-07-30",24.8493,23.1785,31.1849,3.7042,0.0072,71970.0,0
"2018-07-31",26.0566,23.2874,30.5613,2.2410,0.0075,39540.0,1
