date,wssPrecipTotal,precipQF
"2019-04-01",0.440,1
"2019-04-02",7.520,0
"2019-04-03",1.970,0
"2019-04-04",1.980,0
"2019-04-05",2.950,0
"2019-04-06",2.080,0
"2019-04-07",1.760,0
"2019-04-08",4.020,0
"2019-04-09",2.090,0
"2019-04-10",2.480,0
"2019-04-11",1.840,0
"2019-04-12",2.560,0
"2019-04-13",1.740,0
"2019-04-14",2.040,0
"2019-04-15",2.000,0
"2019-04-16",2.680,0
"2019-04-17",1.870,0
"2019-04-18",2.710,0
"2019-04-19",24.370,0
"2019-04-20",1.060,0
"2019-04-21",1.630,0
"2019-04-22",2.380,0
"2019-04-23",1.820,0
"2019-04-24",1.320,0
"2019-04-25",2.080,0
"2019-04-26",13.440,0
"2019-04-27",1.760,0
"2019-04-28",2.890,0
"2019-04-29",2.430,0
"2019-04-30",2.610,0
