date,wssRHMean,wssRHMinimum,wssRHMaximum,wssRHVariance,wssRHStdErMean,wssRHNumPts,RHQF,wssDewTempMean,wssDewTempMinimum,wssDewTempMaximum,wssDewTempVariance,wssDewTempStdErMean,wssDewTempNumPts,dewTempQF
"2019-06-01",71.52,35.51,96.20,383.14,0.07,77906.0,1,21.341,16.037,23.637,3.796,0.007,77904.0,1
"2019-06-02",71.97,41.57,96.51,374.32,0.07,77885.0,1,21.640,16.869,23.761,4.154,0.007,77885.0,1
"2019-06-03",63.24,25.44,94.91,651.32,0.09,77928.0,1,19.402,10.757,23.577,15.507,0.014,77921.0,1
"2019-06-04",68.69,32.18,95.49,458.04,0.08,75845.0,1,21.098,15.385,24.676,6.261,0.009,75845.0,1
"2019-06-05",75.84,42.87,92.28,242.39,0.06,77838.0,1,21.701,19.117,23.884,0.968,0.004,77838.0,1
"2019-06-06",76.41,46.60,93.48,151.56,0.04,77907.0,1,22.056,18.749,23.192,0.444,0.002,77907.0,1
"2019-06-07",81.48,58.88,92.56,63.80,0.03,77849.0,1,22.473,20.751,24.115,0.323,0.002,77849.0,1
"2019-06-08",79.75,52.06,95.61,169.84,0.05,77923.0,1,21.427,19.567,22.616,0.386,0.002,77923.0,1
"2019-06-09",90.64,76.49,96.83,25.53,0.02,78164.0,1,21.754,20.114,23.746,0.481,0.002,78164.0,1
"2019-06-10",85.29,58.34,96.47,139.89,0.04,78075.0,1,21.067,19.477,23.587,0.455,0.002,78075.0,1
"2019-06-11",83.93,55.89,96.04,99.05,0.04,77983.0,1,22.499,18.987,24.601,0.379,0.002,77983.0,1
"2019-06-12",84.51,62.49,95.62,61.05,0.03,77838.0,1,21.963,19.004,23.748,0.467,0.002,77838.0,1
"2019-06-13",91.04,79.75,95.70,17.09,0.01,78038.0,1,21.596,19.720,23.284,0.907,0.003,78038.0,1
"2019-06-14",77.38,42.90,95.83,350.88,0.07,69316.0,1,19.852,14.221,22.844,5.491,0.009,69325.0,1
"2019-06-15",,,,,,0.0,1,,,,,,0.0,1
"2019-06-16",,,,,,0.0,1,,,,,,0.0,1
"2019-06-17",,,,,,0.0,1,,,,,,0.0,1
"2019-06-18",,,,,,0.0,1,,,,,,0.0,1
"2019-06-19",,,,,,0.0,1,,,,,,0.0,1
"2019-06-20",,,,,,0.0,1,,,,,,0.0,1
"2019-06-21",,,,,,0.0,1,,,,,,0.0,1
"2019-06-22",,,,,,0.0,1,,,,,,0.0,1
"2019-06-23",,,,,,0.0,1,,,,,,0.0,1
"2019-06-24",69.19,40.23,92.98,288.65,0.06,77787.0,1,22.094,17.980,24.326,2.531,0.006,77787.0,1
"2019-06-25",74.11,44.95,95.54,268.08,0.06,73381.0,1,23.105,20.538,25.237,1.622,0.005,73384.0,1
"2019-06-26",64.62,41.38,85.97,169.44,0.05,77821.0,1,21.656,18.554,23.946,1.511,0.004,77821.0,1
"2019-06-27",59.48,35.39,92.07,205.85,0.05,77822.0,1,18.887,14.607,22.838,2.259,0.005,77822.0,1
"2019-06-28",74.78,38.94,96.04,304.91,0.06,77885.0,1,21.401,16.322,23.718,2.559,0.006,77885.0,1
"2019-06-29",79.21,41.77,97.15,177.27,0.05,77976.0,1,21.823,17.228,23.481,1.290,0.004,77976.0,1
"2019-06-30",77.76,46.60,96.77,276.36,0.06,78090.0,1,21.799,19.112,23.039,0.416,0.002,78090.0,1
