"domainID","siteID","horizontalPosition","verticalPosition","date","wssTempTripleMean","wssTempTripleMinimum","wssTempTripleMaximum","wssTempTripleVariance","wssTempTripleStdErMean","wssTempTripleNumPts","tempTripleQF"
"D03","OSBS","000","060","2018-01-01",7.1496,0.9799,14.8482,16.4015,0.0166,59400,1
"D03","OSBS","000","060","2018-01-02",1.5613,-0.721,4.4584,2.3683,0.007,48870,1
"D03","OSBS","000","060","2018-01-03",2.0914,0.6282,5.2663,0.616,0.0039,40200,1
"D03","OSBS","000","060","2018-01-04",1.8333,-2.2491,8.638,11.1074,0.0124,72270,1
"D03","OSBS","000","060","2018-01-05",2.8853,-2.0524,8.4578,10.0368,0.0112,80490,0
"D03","OSBS","000","060","2018-01-06",5.1679,0.4746,10.2909,7.8267,0.0097,84030,0
"D03","OSBS","000","060","2018-01-07",6.2953,1.4696,14.2151,19.5655,0.0153,83460,0
"D03","OSBS","000","060","2018-01-08",9.836,4.5694,19.5243,27.8097,0.0184,82020,0
"D03","OSBS","000","060","2018-01-09",16.3788,13.9351,23.4814,7.5536,0.0097,79860,0
"D03","OSBS","000","060","2018-01-10",18.0293,16.8601,20.2593,1.2258,0.0039,78900,0
"D03","OSBS","000","060","2018-01-11",19.5849,17.6929,23.4233,3.2987,0.0063,83940,0
"D03","OSBS","000","060","2018-01-12",19.1011,17.5721,21.7258,1.2861,0.0042,72420,1
"D03","OSBS","000","060","2018-01-13",11.3676,5.3831,17.7261,12.7692,0.0131,74880,1
"D03","OSBS","000","060","2018-01-14",5.2059,-0.1135,11.8276,14.5478,0.0136,78870,0
"D03","OSBS","000","060","2018-01-15",6.5037,1.8429,13.2237,12.2776,0.0121,84090,0
"D03","OSBS","000","060","2018-01-16",8.8727,3.4245,18.1872,29.2396,0.0184,86310,0
"D03","OSBS","000","060","2018-01-17",9.3976,5.0126,13.8396,3.2319,0.0065,76230,0
"D03","OSBS","000","060","2018-01-18",1.969,-4.3031,9.1818,23.8865,0.0194,63660,1
"D03","OSBS","000","060","2018-01-19",7.7496,1.7039,16.0973,22.9642,0.0163,86400,0
