"domainID","siteID","horizontalPosition","verticalPosition","date","wssWindSpeedMean","wssWindSpeedMinimum","wssWindSpeedMaximum","wssWindSpeedVariance","wssWindSpeedStdErMean","wssWindSpeedNumPts","windSpeedQF"
"D03","OSBS","000","010","2018-01-01",0.71,0,5.04,0.2,0,86372,0
"D03","OSBS","000","010","2018-01-02",0.9,0,5.92,0.23,0,86254,0
"D03","OSBS","000","010","2018-01-03",0.73,0,5.18,0.17,0,85559,0
"D03","OSBS","000","010","2018-01-04",0.9,0,4.53,0.47,0,86230,0
"D03","OSBS","000","010","2018-01-05",1.81,0.01,6.57,0.12,0,61423,1
"D03","OSBS","000","010","2018-01-06",NA,NA,NA,NA,NA,0,1
"D03","OSBS","000","010","2018-01-07",NA,NA,NA,NA,NA,0,1
"D03","OSBS","000","010","2018-01-08",NA,NA,NA,NA,NA,0,1
"D03","OSBS","000","010","2018-01-09",NA,NA,NA,NA,NA,0,1
"D03","OSBS","000","010","2018-01-10",NA,NA,NA,NA,NA,0,1
"D03","OSBS","000","010","2018-01-11",NA,NA,NA,NA,NA,0,1
"D03","OSBS","000","010","2018-01-12",NA,NA,NA,NA,NA,0,1
"D03","OSBS","000","010","2018-01-13",NA,NA,NA,NA,NA,0,1
"D03","OSBS","000","010","2018-01-14",NA,NA,NA,NA,NA,0,1
"D03","OSBS","000","010","2018-01-15",NA,NA,NA,NA,NA,0,1
"D03","OSBS","000","010","2018-01-16",NA,NA,NA,NA,NA,0,1
"D03","OSBS","000","010","2018-01-17",NA,NA,NA,NA,NA,0,1
"D03","OSBS","000","010","2018-01-18",NA,NA,NA,NA,NA,0,1
"D03","OSBS","000","010","2018-01-19",NA,NA,NA,NA,NA,0,1
"D03","OSBS","000","010","2018-01-20",NA,NA,NA,NA,NA,0,1
"D03","OSBS","000","010","2018-01-21",NA,NA,NA,NA,NA,0,1
"D03","OSBS","000","010","2018-01-22",NA,NA,NA,NA,NA,0,1
"D03","OSBS","000","010","2018-01-23",NA,NA,NA,NA,NA,0,1
"D03","OSBS","000","010","2018-01-24",NA,NA,NA,NA,NA,0,1
"D03","OSBS","000","010","2018-01-25",NA,NA,NA,NA,NA,0,1
"D03","OSBS","000","010","2018-01-26",NA,NA,NA,NA,NA,0,1
"D03","OSBS","000","010","2018-01-27",NA,NA,NA,NA,NA,0,1
